initial_branch,trial_id,stage_id,branch_index,from_bus,to_bus,PF,PT,active_flow_mw,active_limit_mw,P_li_pu,P_li_max_pu,line_overlimit_component,line_severity_component,severity_valid,replay_source
1,1,1,1,1,2,0,0,0,600,0,1,0,0,1,replayed_pf_result
1,1,1,2,1,39,-97.5999999979533,97.6903990014069,97.6903990014069,1000,0.0976903990014069,1,0,0,1,replayed_pf_result
1,1,1,3,2,3,461.293685077756,-458.634558832903,461.293685077756,500,0.922587370155511,1,0,0,1,replayed_pf_result
1,1,1,4,2,25,-211.2936850837,214.491332996491,214.491332996491,500,0.428982665992982,1,0,0,1,replayed_pf_result
1,1,1,5,2,30,-249.999999999714,249.999999999714,249.999999999714,900,0.27777777777746,1,0,0,1,replayed_pf_result
1,1,1,6,3,4,157.095579717415,-156.615089264601,157.095579717415,500,0.31419115943483,1,0,0,1,replayed_pf_result
1,1,1,7,3,18,-20.4610208841331,20.4665145883902,20.4665145883902,500,0.0409330291767804,1,0,0,1,replayed_pf_result
1,1,1,8,4,5,-81.1444576610632,81.1970148857395,81.1970148857395,600,0.135328358142899,1,0,0,1,replayed_pf_result
1,1,1,9,4,14,-262.240453039985,262.806007661971,262.806007661971,500,0.525612015323943,1,0,0,1,replayed_pf_result
1,1,1,10,5,6,-519.537034296484,520.07903769146,520.07903769146,1200,0.433399198076217,1,0,0,1,replayed_pf_result
1,1,1,11,5,8,438.340019375419,-436.77932155885,438.340019375419,900,0.487044465972688,1,0,0,1,replayed_pf_result
1,1,1,12,6,7,531.025973702436,-529.295318954785,531.025973702436,900,0.590028859669374,1,0,0,1,replayed_pf_result
1,1,1,13,6,11,-380.072267313376,381.082512995939,381.082512995939,480,0.793921902074873,1,0,0,1,replayed_pf_result
1,1,1,14,6,31,-671.032744212801,671.032744212801,671.032744212801,1800,0.372795969007111,1,0,0,1,replayed_pf_result
1,1,1,15,7,8,295.495318960079,-295.141533536639,295.495318960079,900,0.328328132177865,1,0,0,1,replayed_pf_result
1,1,1,16,8,9,209.920855166262,-208.573939437527,209.920855166262,900,0.23324539462918,1,0,0,1,replayed_pf_result
1,1,1,17,9,39,202.073939559062,-201.69039897563,202.073939559062,900,0.224526599510068,1,0,0,1,replayed_pf_result
1,1,1,18,10,11,380.65525063395,-380.065539996262,380.65525063395,600,0.634425417723251,1,0,0,1,replayed_pf_result
1,1,1,19,10,13,269.344749343517,-269.055597302432,269.344749343517,600,0.448907915572528,1,0,0,1,replayed_pf_result
1,1,1,20,10,32,-649.999999993436,649.999999993436,649.999999993436,900,0.722222222214929,1,0,0,1,replayed_pf_result
1,1,1,21,12,11,1.04546397041142,-1.01697300758995,1.04546397041142,500,0.00209092794082284,1,0,0,1,replayed_pf_result
1,1,1,22,12,13,-9.57546397008887,9.61157302178541,9.61157302178541,500,0.0192231460435708,1,0,0,1,replayed_pf_result
1,1,1,23,13,14,259.444024279241,-258.852676838472,259.444024279241,600,0.432406707132068,1,0,0,1,replayed_pf_result
